,Movie Name,Movie Link,IMDB Rating,Running Time,Director,Release Date,Country,Votes,Meta score,Summary,First writer,First actor,Genre,Censor_Board_Rating
81,3 Idiots,https://www.imdb.com/title/tt1187043/,8.4,2h 50min,Rajkumar Hirani,25 December 2009 (India),India,"345,800",67,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,Aamir Khan,Comedy,PG
82,Tengoku to jigoku,https://www.imdb.com/title/tt0057565/,8.4,2h 23min,Akira Kurosawa,1 March 1963 (Japan),Japanese,"34,817",,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,Hideo Oguni,Toshirô Mifune,Crime,2h23min
83,Amadeus,https://www.imdb.com/title/tt0086879/,8.3,2h 40min,Milos Forman,19 September 1984 (USA),USA,"370,095",88,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Peter Shaffer,F. Murray Abraham,Biography,PG
84,Inglourious Basterds,https://www.imdb.com/title/tt0361748/,8.3,2h 33min,Quentin Tarantino,21 August 2009 (Canada),USA,"1,273,160",69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,Brad Pitt,Adventure,18A
85,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,8.3,2h 11min,Richard Marquand,25 May 1983 (Canada),USA,"953,293",,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Lawrence Kasdan,Mark Hamill,Action,G
86,Good Will Hunting,https://www.imdb.com/title/tt0119217/,8.3,2h 6min,Gus Van Sant,9 January 1998 (Canada),USA,"864,750",70,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Matt Damon,Robin Williams,Drama,14A
87,Taare Zameen Par,https://www.imdb.com/title/tt0986264/,8.4,2h 45min,Aamir Khan,21 December 2007 (Canada),India,"169,773",,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Amole Gupte,Darsheel Safary,Drama,PG
88,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,8.3,1h 39min,Quentin Tarantino,2 September 1992 (France),USA,"921,622",79,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,Harvey Keitel,Crime,18+
89,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,8.3,2h 29min,Stanley Kubrick,12 May 1968 (UK),UK,"605,427",84,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Stanley Kubrick,Keir Dullea,Adventure,G
90,Requiem for a Dream,https://www.imdb.com/title/tt0180093/,8.3,1h 42min,Darren Aronofsky,3 November 2000 (Canada),English,"769,333",68,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Hubert Selby Jr.,Ellen Burstyn,Drama,R
91,Vertigo,https://www.imdb.com/title/tt0052357/,8.3,2h 8min,Alfred Hitchcock,16 June 1958 (Canada),USA,"365,663",100,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,Alec Coppel,James Stewart,Mystery,G
92,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,8.3,1h 57min,Fritz Lang,31 August 1931 (Sweden),German,"143,992",,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Thea von Harbou,Peter Lorre,Crime,G
93,Jagten,https://www.imdb.com/title/tt2106476/,8.3,1h 55min,Thomas Vinterberg,10 January 2013 (Denmark),Denmark,"283,378",77,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Tobias Lindholm,Mads Mikkelsen,Drama,R
94,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,8.3,1h 48min,Michel Gondry,19 March 2004 (USA),USA,"914,466",89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Charlie Kaufman,Jim Carrey,Drama,14A
95,Citizen Kane,https://www.imdb.com/title/tt0033467/,8.3,1h 59min,Orson Welles,5 September 1941 (USA),USA,"404,925",100,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",Herman J. Mankiewicz,Orson Welles,Drama,G
96,Dangal,https://www.imdb.com/title/tt5074352/,8.4,2h 41min,Nitesh Tiwari,23 December 2016 (Canada),USA,"157,454",,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Piyush Gupta,Aamir Khan,Action,PG
97,Ladri di biciclette,https://www.imdb.com/title/tt0040522/,8.3,1h 29min,Vittorio De Sica,24 November 1948 (Italy),Italian,"147,136",,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Cesare Zavattini,Lamberto Maggiorani,Drama,1h29min
98,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,8.3,1h 43min,Stanley Donen,11 April 1952 (USA),English,"219,735",99,A silent film production company and cast make a difficult transition to sound.,Betty Comden,Gene Kelly,Comedy,G
99,Full Metal Jacket,https://www.imdb.com/title/tt0093058/,8.3,1h 56min,Stanley Kubrick,26 June 1987 (Canada),English,"677,232",76,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,Matthew Modine,Drama,R
100,The Kid,https://www.imdb.com/title/tt0012349/,8.3,1h 8min,Charles Chaplin,March 1921 (Canada),USA,"113,933",,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Charles Chaplin,Charles Chaplin,Comedy,1h8min
101,Snatch,https://www.imdb.com/title/tt0208092/,8.3,1h 44min,Guy Ritchie,19 January 2001 (Canada),UK,"784,134",,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,Jason Statham,Comedy,16+
102,Idi i smotri,https://www.imdb.com/title/tt0091251/,8.3,2h 22min,Elem Klimov,17 October 1985 (Hungary),Russian,"59,675",,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Ales Adamovich,Aleksey Kravchenko,Drama,16+
103,North by Northwest,https://www.imdb.com/title/tt0053125/,8.3,2h 16min,Alfred Hitchcock,11 September 1959 (Canada),English,"300,059",98,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,Ernest Lehman,Cary Grant,Adventure,18A
104,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,8.3,2h 16min,Stanley Kubrick,13 January 1972 (UK),English,"760,066",77,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,Malcolm McDowell,Crime,(Banned)
105,Scarface,https://www.imdb.com/title/tt0086250/,8.3,2h 50min,Brian De Palma,9 December 1983 (Canada),USA,"743,588",65,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Oliver Stone,Al Pacino,Crime,18+
106,Ikiru,https://www.imdb.com/title/tt0044741/,8.3,2h 23min,Akira Kurosawa,9 October 1952 (Japan),Japanese,"68,864",,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,Takashi Shimura,Drama,2h23min
107,1917,https://www.imdb.com/title/tt8579674/,8.3,1h 59min,Sam Mendes,10 January 2020 (Canada),USA,"433,111",78,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,Dean-Charles Chapman,Drama,14A
108,Taxi Driver,https://www.imdb.com/title/tt0075314/,8.2,1h 54min,Martin Scorsese,19 March 1976 (Canada),English,"727,657",94,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Paul Schrader,Robert De Niro,Crime,18A
109,Incendies,https://www.imdb.com/title/tt1255953/,8.3,2h 10min,Denis Villeneuve,12 January 2011 (France),Canada,"150,956",80,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,Lubna Azabal,Drama,14A
110,Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/,8.3,2h 3min,Asghar Farhadi,16 March 2011 (Iran),Iran,"220,827",95,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,Payman Maadi,Drama,PG
111,Toy Story 3,https://www.imdb.com/title/tt0435761/,8.2,1h 43min,Lee Unkrich,18 June 2010 (Canada),USA,"759,325",92,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",John Lasseter,Tom Hanks,Animation,G
112,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,8.3,3h 48min,David Lean,30 January 1963 (Canada),UK,"268,927",100,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",T.E. Lawrence,Peter O'Toole,Adventure,PG
113,The Sting,https://www.imdb.com/title/tt0070735/,8.3,2h 9min,George Roy Hill,25 December 1973 (Canada),English,"242,208",83,Two grifters team up to pull off the ultimate con.,David S. Ward,Paul Newman,Comedy,PG
114,Amélie,https://www.imdb.com/title/tt0211915/,8.3,2h 2min,Jean-Pierre Jeunet,9 November 2001 (Canada),France,"705,535",69,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Guillaume Laurant,Audrey Tautou,Comedy,14A
115,Metropolis,https://www.imdb.com/title/tt0017136/,8.3,2h 33min,Fritz Lang,6 February 1927 (France),Germany,"160,560",98,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Thea von Harbou,Brigitte Helm,Drama,G
116,Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/,8.2,2h 12min,Sergio Leone,20 December 1965 (Greece),Italian,"233,574",74,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Sergio Leone,Clint Eastwood,Western,13+
117,The Apartment,https://www.imdb.com/title/tt0053604/,8.3,2h 5min,Billy Wilder,29 June 1960 (Canada),English,"165,014",94,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,Jack Lemmon,Comedy,PG
118,Double Indemnity,https://www.imdb.com/title/tt0036775/,8.3,1h 47min,Billy Wilder,25 August 1944 (Canada),USA,"144,074",95,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Billy Wilder,Fred MacMurray,Crime,G
119,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,8.2,2h 9min,Robert Mulligan,March 1963 (Canada),USA,"294,512",88,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Harper Lee,Gregory Peck,Crime,PG
120,Up,https://www.imdb.com/title/tt1049413/,8.2,1h 36min,Pete Docter,29 May 2009 (Canada),USA,"938,740",88,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,Edward Asner,Animation,G
121,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,8.2,2h 7min,Steven Spielberg,24 May 1989 (Canada),USA,"694,006",65,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Jeffrey Boam,Harrison Ford,Action,PG
122,Heat,https://www.imdb.com/title/tt0113277/,8.2,2h 50min,Michael Mann,15 December 1995 (USA),USA,"579,469",76,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Michael Mann,Al Pacino,Crime,16+
123,L.A. Confidential,https://www.imdb.com/title/tt0119488/,8.2,2h 18min,Curtis Hanson,19 September 1997 (USA),USA,"533,533",90,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",James Ellroy,Kevin Spacey,Crime,18A
124,Die Hard,https://www.imdb.com/title/tt0095016/,8.2,2h 12min,John McTiernan,20 July 1988 (USA),USA,"795,021",72,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Roderick Thorp,Bruce Willis,Action,R
125,Green Book,https://www.imdb.com/title/tt6966692/,8.2,2h 10min,Peter Farrelly,21 November 2018 (Canada),USA,"382,791",69,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Nick Vallelonga,Viggo Mortensen,Biography,PG
126,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/,8.2,1h 31min,Terry Gilliam,25 May 1975 (UK),English,"502,047",91,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Graham Chapman,Graham Chapman,Adventure,PG
127,Batman Begins,https://www.imdb.com/title/tt0372784/,8.2,2h 20min,Christopher Nolan,15 June 2005 (Canada),USA,"1,312,038",70,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Bob Kane,Christian Bale,Action,PG
128,Yôjinbô,https://www.imdb.com/title/tt0055630/,8.2,1h 50min,Akira Kurosawa,25 April 1961 (Japan),Japanese,"111,738",,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,Toshirô Mifune,Action,G
129,Rashômon,https://www.imdb.com/title/tt0042876/,8.2,1h 28min,Akira Kurosawa,26 August 1950 (Japan),Japanese,"153,195",98,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Ryûnosuke Akutagawa,Toshirô Mifune,Crime,G
130,Der Untergang,https://www.imdb.com/title/tt0363163/,8.2,2h 36min,Oliver Hirschbiegel,16 September 2004 (Germany),Germany,"332,199",82,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Bernd Eichinger,Bruno Ganz,Biography,14A
131,Bacheha-Ye aseman,https://www.imdb.com/title/tt0118849/,8.3,1h 29min,Majid Majidi,1997 (Iran),Iran,"65,712",77,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,Mohammad Amir Naji,Drama,PG
132,Unforgiven,https://www.imdb.com/title/tt0105695/,8.2,2h 10min,Clint Eastwood,7 August 1992 (USA),USA,"377,040",85,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",David Webb Peoples,Clint Eastwood,Drama,14A
133,Ran,https://www.imdb.com/title/tt0089881/,8.2,2h 42min,Akira Kurosawa,1 June 1985 (Japan),Japanese,"112,974",96,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,Tatsuya Nakadai,Action,PG
134,Some Like It Hot,https://www.imdb.com/title/tt0053291/,8.2,2h 1min,Billy Wilder,14 May 1959 (Canada),English,"244,737",98,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,Marilyn Monroe,Comedy,PG
135,Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/,8.2,1h 59min,Hayao Miyazaki,17 June 2005 (Canada),Japan,"335,883",80,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,Chieko Baishô,Animation,PG
136,All About Eve,https://www.imdb.com/title/tt0042192/,8.2,2h 18min,Joseph L. Mankiewicz,27 October 1950 (USA),USA,"120,910",98,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,Bette Davis,Drama,PG
137,Casino,https://www.imdb.com/title/tt0112641/,8.2,2h 58min,Martin Scorsese,22 November 1995 (Canada),English,"468,112",73,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Nicholas Pileggi,Robert De Niro,Crime,16+
138,A Beautiful Mind,https://www.imdb.com/title/tt0268978/,8.2,2h 15min,Ron Howard,4 January 2002 (Canada),USA,"851,875",72,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Akiva Goldsman,Russell Crowe,Biography,PG
139,The Great Escape,https://www.imdb.com/title/tt0057115/,8.2,2h 52min,John Sturges,4 July 1963 (USA),English,"225,357",86,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,Paul Brickhill,Steve McQueen,Adventure,PG
140,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,8.2,3h,Martin Scorsese,25 December 2013 (Canada),USA,"1,195,351",75,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Terence Winter,Leonardo DiCaprio,Biography,18A
141,Pan's Labyrinth,https://www.imdb.com/title/tt0457430/,8.2,1h 58min,Guillermo del Toro,19 January 2007 (Canada),Mexico,"620,218",98,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,Ivana Baquero,Drama,14A
142,El secreto de sus ojos,https://www.imdb.com/title/tt1305806/,8.2,2h 9min,Juan José Campanella,13 August 2009 (Argentina),Argentina,"193,866",80,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Eduardo Sacheri,Ricardo Darín,Drama,18A
143,There Will Be Blood,https://www.imdb.com/title/tt0469494/,8.2,2h 38min,Paul Thomas Anderson,25 January 2008 (USA),USA,"519,537",93,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,Daniel Day-Lewis,Drama,PG
144,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,8.2,1h 47min,Guy Ritchie,5 March 1999 (Canada),UK,"536,621",66,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",Guy Ritchie,Jason Flemyng,Action,16+
145,Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/,8.2,2h 59min,Stanley Kramer,18 December 1961 (Sweden),English,"69,732",,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Abby Mann,Spencer Tracy,Drama,2h59min
146,Tonari no Totoro,https://www.imdb.com/title/tt0096283/,8.2,1h 26min,Hayao Miyazaki,16 April 1988 (Japan),Japan,"292,840",86,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,Hitoshi Takagi,Animation,G
147,Raging Bull,https://www.imdb.com/title/tt0081398/,8.2,2h 9min,Martin Scorsese,19 December 1980 (USA),English,"322,870",89,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Jake LaMotta,Robert De Niro,Biography,18A
148,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,8.2,2h 6min,John Huston,February 1948 (Canada),English,"114,660",98,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,Humphrey Bogart,Adventure,PG
149,Dial M for Murder,https://www.imdb.com/title/tt0046912/,8.2,1h 45min,Alfred Hitchcock,29 May 1954 (USA),English,"158,952",75,A former tennis player tries to arrange his wife's murder after learning of her affair.,Frederick Knott,Ray Milland,Crime,PG
150,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,8.1,1h 55min,Martin McDonagh,1 December 2017 (USA),UK,"435,550",88,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,Frances McDormand,Comedy,14A
151,Shutter Island,https://www.imdb.com/title/tt1130884/,8.2,2h 18min,Martin Scorsese,19 February 2010 (Canada),English,"1,135,326",63,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Laeta Kalogridis,Leonardo DiCaprio,Mystery,14A
152,The Gold Rush,https://www.imdb.com/title/tt0015864/,8.2,1h 35min,Charles Chaplin,27 September 1925 (Canada),USA,"101,504",,A prospector goes to the Klondike in search of gold and finds it and more.,Charles Chaplin,Charles Chaplin,Adventure,1h35min
153,Chinatown,https://www.imdb.com/title/tt0071315/,8.1,2h 10min,Roman Polanski,28 June 1974 (Canada),English,"295,320",92,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Robert Towne,Jack Nicholson,Drama,18A
154,Babam ve Oglum,https://www.imdb.com/title/tt0476735/,8.3,1h 52min,Veysel Aslan,18 November 2005 (Turkey),Turkey,"79,275",,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Çagan Irmak,Eser Sariyar,Drama,1h52min
155,No Country for Old Men,https://www.imdb.com/title/tt0477348/,8.1,2h 2min,Ethan Coen,21 November 2007 (USA),USA,"860,187",91,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Joel Coen,Tommy Lee Jones,Crime,18A
156,V for Vendetta,https://www.imdb.com/title/tt0434409/,8.2,2h 12min,James McTeigue,17 March 2006 (Canada),USA,"1,035,348",62,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",Lilly Wachowski,Hugo Weaving,Action,14A
157,Inside Out,https://www.imdb.com/title/tt2096673/,8.1,1h 35min,Pete Docter,19 June 2015 (Canada),USA,"619,338",94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Pete Docter,Amy Poehler,Animation,G
158,The Elephant Man,https://www.imdb.com/title/tt0080678/,8.1,2h 4min,David Lynch,10 October 1980 (Canada),English,"220,841",78,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",Christopher De Vore,Anthony Hopkins,Biography,13+
159,The Thing,https://www.imdb.com/title/tt0084787/,8.1,1h 49min,John Carpenter,25 June 1982 (Canada),English,"372,442",,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Bill Lancaster,Kurt Russell,Horror,18A
160,Det sjunde inseglet,https://www.imdb.com/title/tt0050976/,8.2,1h 36min,Ingmar Bergman,16 February 1957 (Sweden),Swedish,"165,726",88,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,Max von Sydow,Drama,1h36min
161,Warrior,https://www.imdb.com/title/tt1291584/,8.2,2h 20min,Gavin O'Connor,9 September 2011 (Canada),USA,"437,158",71,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,Tom Hardy,Action,14A
162,The Sixth Sense,https://www.imdb.com/title/tt0167404/,8.1,1h 47min,M. Night Shyamalan,6 August 1999 (Canada),English,"913,660",64,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,M. Night Shyamalan,Bruce Willis,Drama,14A
163,Trainspotting,https://www.imdb.com/title/tt0117951/,8.1,1h 33min,Danny Boyle,26 July 1996 (Canada),UK,"636,221",83,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Irvine Welsh,Ewan McGregor,Drama,R
164,Jurassic Park,https://www.imdb.com/title/tt0107290/,8.1,2h 7min,Steven Spielberg,11 June 1993 (Canada),USA,"870,206",68,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Michael Crichton,Sam Neill,Action,PG
