,Movie Name,Movie Link,IMDB Rating,Running Time,Director,Release Date,Country,Votes,Meta score,Summary,First writer,First actor,Genre,Censor_Board_Rating
165,Klaus,https://www.imdb.com/title/tt4729430/,8.2,1h 36min,Sergio Pablos,15 November 2019 (Spain),Spain,"106,338",65,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,Jason Schwartzman,Animation,G
166,The Truman Show,https://www.imdb.com/title/tt0120382/,8.1,1h 43min,Peter Weir,5 June 1998 (Canada),USA,"943,650",90,An insurance salesman discovers his whole life is actually a reality TV show.,Andrew Niccol,Jim Carrey,Comedy,PG
167,Gone with the Wind,https://www.imdb.com/title/tt0031381/,8.1,3h 58min,Victor Fleming,17 January 1940 (USA),USA,"290,905",97,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Margaret Mitchell,Clark Gable,Drama,G
168,Finding Nemo,https://www.imdb.com/title/tt0266543/,8.1,1h 40min,Andrew Stanton,30 May 2003 (Canada),USA,"952,226",90,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton,Albert Brooks,Animation,G
169,Stalker,https://www.imdb.com/title/tt0079944/,8.2,2h 42min,Andrei Tarkovsky,17 April 1980 (Netherlands),Russian,"117,578",,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Arkadiy Strugatskiy,Alisa Freyndlikh,Drama,G
170,Smultronstället,https://www.imdb.com/title/tt0050986/,8.2,1h 31min,Ingmar Bergman,26 December 1957 (Sweden),Swedish,"96,854",88,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,Victor Sjöström,Drama,PA
171,Blade Runner,https://www.imdb.com/title/tt0083658/,8.1,1h 57min,Ridley Scott,25 June 1982 (Canada),USA,"695,733",84,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Hampton Fancher,Harrison Ford,Action,PA
172,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,8.1,1h 51min,Quentin Tarantino,10 October 2003 (Canada),USA,"1,003,745",69,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,Uma Thurman,Action,16+
173,Salinui chueok,https://www.imdb.com/title/tt0353969/,8.1,2h 11min,Bong Joon Ho,23 October 2020 (Canada),South Korea,"140,799",82,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,Kang-ho Song,Crime,14A
174,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,8.1,2h 41min,David Lean,March 1958 (Canada),English,"204,050",87,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",Pierre Boulle,William Holden,Adventure,PG
175,Fargo,https://www.imdb.com/title/tt0116282/,8.1,1h 38min,Joel Coen,5 April 1996 (Canada),USA,"619,458",85,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Ethan Coen,William H. Macy,Crime,14A
176,Room,https://www.imdb.com/title/tt3170832/,8.1,1h 58min,Lenny Abrahamson,15 January 2016 (Ireland),Canada,"373,403",86,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Emma Donoghue,Brie Larson,Drama,14A
177,Relatos salvajes,https://www.imdb.com/title/tt3011894/,8.1,2h 2min,Damián Szifron,21 August 2014 (Argentina),Argentina,"177,931",77,Six short stories that explore the extremities of human behavior involving people in distress.,Germán Servidio,Darío Grandinetti,Comedy,14A
178,Gran Torino,https://www.imdb.com/title/tt1205489/,8.1,1h 56min,Clint Eastwood,9 January 2009 (USA),Germany,"722,166",72,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Nick Schenk,Clint Eastwood,Drama,14A
179,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,8.2,2h 16min,Yasujirô Ozu,3 November 1953 (Japan),Japanese,"53,481",,"An old couple visit their children and grandchildren in the city, but receive little attention.",Kôgo Noda,Chishû Ryû,Drama,2h16min
180,The Third Man,https://www.imdb.com/title/tt0041959/,8.1,1h 44min,Carol Reed,12 October 1949 (France),English,"159,175",97,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Graham Greene,Orson Welles,Film-Noir,PG
181,On the Waterfront,https://www.imdb.com/title/tt0047296/,8.1,1h 48min,Elia Kazan,22 June 1954 (Japan),USA,"142,575",91,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Budd Schulberg,Marlon Brando,Crime,PG
182,The Deer Hunter,https://www.imdb.com/title/tt0077416/,8.1,3h 3min,Michael Cimino,15 March 1979 (Canada),USA,"312,389",86,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Michael Cimino,Robert De Niro,Drama,18+
183,In the Name of the Father,https://www.imdb.com/title/tt0107207/,8.1,2h 13min,Jim Sheridan,21 January 1994 (Canada),English,"157,410",84,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Gerry Conlon,Daniel Day-Lewis,Biography,R
184,Mary and Max,https://www.imdb.com/title/tt0978762/,8.1,1h 32min,Adam Elliot,9 April 2009 (Australia),Australia,"164,863",,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Adam Elliot,Toni Collette,Animation,G
185,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,8.1,1h 39min,Wes Anderson,6 March 2014 (Germany),Germany,"710,752",88,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Stefan Zweig,Ralph Fiennes,Adventure,14A
186,Before Sunrise,https://www.imdb.com/title/tt0112471/,8.1,1h 41min,Richard Linklater,27 January 1995 (USA),English,"273,495",77,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,Ethan Hawke,Drama,PG
187,Gone Girl,https://www.imdb.com/title/tt2267998/,8.1,2h 29min,David Fincher,3 October 2014 (Canada),USA,"863,230",79,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Gillian Flynn,Ben Affleck,Drama,18A
188,Catch Me If You Can,https://www.imdb.com/title/tt0264464/,8.1,2h 21min,Steven Spielberg,2 January 2003 (Canada),USA,"837,226",75,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Jeff Nathanson,Leonardo DiCaprio,Biography,PG
189,Hacksaw Ridge,https://www.imdb.com/title/tt2119532/,8.1,2h 19min,Mel Gibson,4 November 2016 (Canada),Australia,"438,356",71,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Robert Schenkkan,Andrew Garfield,Biography,16+
190,Anand,https://www.imdb.com/title/tt0066763/,8.4,2h 2min,Hrishikesh Mukherjee,12 March 1971 (India),Hindi,"30,454",,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Hrishikesh Mukherjee,Rajesh Khanna,Drama,2h2min
191,Prisoners,https://www.imdb.com/title/tt1392214/,8.1,2h 33min,Denis Villeneuve,20 September 2013 (Canada),USA,"603,934",70,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Aaron Guzikowski,Hugh Jackman,Crime,14A
192,Persona,https://www.imdb.com/title/tt0060827/,8.1,1h 25min,Ingmar Bergman,18 October 1966 (Sweden),Swedish,"103,817",86,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,Bibi Andersson,Drama,1h25min
193,Andhadhun,https://www.imdb.com/title/tt8108198/,8.3,2h 19min,Sriram Raghavan,5 October 2018 (Canada),India,"72,479",,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Arijit Biswas,Ayushmann Khurrana,Crime,PG
194,The Big Lebowski,https://www.imdb.com/title/tt0118715/,8.1,1h 57min,Joel Coen,6 March 1998 (Canada),English,"734,725",71,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Ethan Coen,Jeff Bridges,Comedy,14A
195,Sherlock Jr.,https://www.imdb.com/title/tt0015324/,8.2,45min,Buster Keaton,May 1924 (Canada),None,"42,283",,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Jean C. Havez,Buster Keaton,Action,45min
196,Höstsonaten,https://www.imdb.com/title/tt0077711/,8.2,1h 39min,Ingmar Bergman,8 October 1978 (Sweden),Swedish,"27,229",,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",Ingmar Bergman,Ingrid Bergman,Drama,PG
197,To Be or Not to Be,https://www.imdb.com/title/tt0035446/,8.2,1h 39min,Ernst Lubitsch,9 March 1942 (Canada),English,"30,203",86,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Melchior Lengyel,Carole Lombard,Comedy,PG
198,The General,https://www.imdb.com/title/tt0017925/,8.1,1h 7min,Clyde Bruckman,21 February 1927 (Canada),None,"81,468",,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Buster Keaton,Buster Keaton,Action,1h7min
199,How to Train Your Dragon,https://www.imdb.com/title/tt0892769/,8.1,1h 38min,Dean DeBlois,26 March 2010 (Canada),USA,"668,849",75,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",William Davies,Jay Baruchel,Animation,PG
200,Barry Lyndon,https://www.imdb.com/title/tt0072684/,8.1,3h 5min,Stanley Kubrick,18 December 1975 (Canada),English,"150,522",89,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,Ryan O'Neal,Adventure,PG
201,Ford v Ferrari,https://www.imdb.com/title/tt1950186/,8.1,2h 32min,James Mangold,15 November 2019 (Canada),USA,"295,112",81,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Jez Butterworth,Matt Damon,Action,PG
202,Eskiya,https://www.imdb.com/title/tt0116231/,8.2,2h 8min,Yavuz Turgul,29 November 1996 (Turkey),Turkish,"64,323",,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Yavuz Turgul,Sener Sen,Crime,2h8min
203,12 Years a Slave,https://www.imdb.com/title/tt2024544/,8.1,2h 14min,Steve McQueen,8 November 2013 (USA),USA,"642,735",96,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",John Ridley,Chiwetel Ejiofor,Biography,14A
204,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,8.1,2h 9min,Frank Capra,9 November 1939 (Canada),English,"107,269",73,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Sidney Buchman,James Stewart,Comedy,G
205,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,8.1,2h,George Miller,15 May 2015 (Canada),Australia,"885,438",90,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,Tom Hardy,Action,14A
206,Million Dollar Baby,https://www.imdb.com/title/tt0405159/,8.1,2h 12min,Clint Eastwood,15 December 2004 (Canada),USA,"637,732",86,A determined woman works with a hardened boxing trainer to become a professional.,Paul Haggis,Hilary Swank,Drama,PG
207,Dead Poets Society,https://www.imdb.com/title/tt0097165/,8.1,2h 8min,Peter Weir,9 June 1989 (USA),English,"427,596",79,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Tom Schulman,Robin Williams,Comedy,2h8min
208,Network,https://www.imdb.com/title/tt0074958/,8.1,2h 1min,Sidney Lumet,16 December 1976 (Canada),English,"145,314",83,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Paddy Chayefsky,Faye Dunaway,Drama,14+
209,Stand by Me,https://www.imdb.com/title/tt0092005/,8.1,1h 29min,Rob Reiner,22 August 1986 (Canada),USA,"364,404",75,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Stephen King,Wil Wheaton,Adventure,PG
210,Soul,https://www.imdb.com/title/tt2948372/,8.1,1h 40min,Pete Docter,25 December 2020 (Canada),USA,"178,415",83,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",Pete Docter,Jamie Foxx,Animation,PG
211,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,8.1,2h 10min,David Yates,15 July 2011 (Canada),UK,"767,329",85,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Steve Kloves,Daniel Radcliffe,Adventure,PG
212,Ben-Hur,https://www.imdb.com/title/tt0052618/,8.1,3h 32min,William Wyler,18 November 1959 (Canada),English,"220,046",90,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",Lew Wallace,Charlton Heston,Adventure,G
213,Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/,8.1,1h 33min,Lasse Hallström,12 March 2010 (UK),UK,"254,562",,A college professor bonds with an abandoned dog he takes into his home.,Stephen P. Lindsey,Richard Gere,Biography,G
214,Cool Hand Luke,https://www.imdb.com/title/tt0061512/,8.1,2h 7min,Stuart Rosenberg,1 November 1967 (USA),English,"162,481",92,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Donn Pearce,Paul Newman,Crime,A
215,Ah-ga-ssi,https://www.imdb.com/title/tt4016934/,8.1,2h 25min,Chan-wook Park,28 October 2016 (Canada),South Korea,"114,790",84,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Sarah Waters,Kim Min-hee,Drama,18A
216,Platoon,https://www.imdb.com/title/tt0091763/,8.1,2h,Oliver Stone,6 February 1987 (USA),USA,"382,258",92,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,Charlie Sheen,Drama,PA
217,Logan,https://www.imdb.com/title/tt3315342/,8.1,2h 17min,James Mangold,3 March 2017 (Canada),USA,"650,534",77,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,Hugh Jackman,Action,18A
218,Into the Wild,https://www.imdb.com/title/tt0758758/,8.1,2h 28min,Sean Penn,28 September 2007 (Canada),USA,"574,763",73,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Sean Penn,Emile Hirsch,Adventure,14A
219,Rush,https://www.imdb.com/title/tt1979320/,8.1,2h 3min,Ron Howard,27 September 2013 (Canada),UK,"434,048",74,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Peter Morgan,Daniel Brühl,Action,14A
220,Le salaire de la peur,https://www.imdb.com/title/tt0046268/,8.1,2h 11min,Henri-Georges Clouzot,22 April 1953 (France),French,"54,798",85,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Georges Arnaud,Yves Montand,Adventure,14+
221,Life of Brian,https://www.imdb.com/title/tt0079470/,8.1,1h 34min,Terry Jones,8 November 1979 (UK),English,"368,252",77,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Graham Chapman,Graham Chapman,Comedy,18+
222,La haine,https://www.imdb.com/title/tt0113247/,8.1,1h 38min,Mathieu Kassovitz,1 September 1995 (Canada),France,"151,094",,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,Vincent Cassel,Crime,13+
223,Les quatre cents coups,https://www.imdb.com/title/tt0053198/,8.1,1h 39min,François Truffaut,16 November 1959 (Canada),French,"105,778",,"A young boy, left without attention, delves into a life of petty crime.",François Truffaut,Jean-Pierre Léaud,Crime,1h39min
224,La passion de Jeanne d'Arc,https://www.imdb.com/title/tt0019254/,8.1,1h 50min,Carl Theodor Dreyer,25 October 1928 (France),None,"48,000",,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Joseph Delteil,Maria Falconetti,Biography,1h50min
225,Spotlight,https://www.imdb.com/title/tt1895587/,8.1,2h 9min,Tom McCarthy,20 November 2015 (USA),USA,"422,074",93,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Josh Singer,Mark Ruffalo,Biography,14A
226,Hotel Rwanda,https://www.imdb.com/title/tt0395169/,8.1,2h 1min,Terry George,4 February 2005 (USA),UK,"335,052",79,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Keir Pearson,Don Cheadle,Biography,14A
227,Amores perros,https://www.imdb.com/title/tt0245712/,8.1,2h 34min,Alejandro G. Iñárritu,16 June 2000 (Mexico),Spanish,"224,257",83,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Guillermo Arriaga,Emilio Echevarría,Drama,18A
228,Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/,8.2,5h 21min,Anurag Kashyap,16 January 2015 (Canada),India,"82,707",89,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Akhilesh Jaiswal,Manoj Bajpayee,Action,13+
229,Andrei Rublev,https://www.imdb.com/title/tt0060107/,8.1,3h 25min,Andrei Tarkovsky,December 1969 (France),Russian,"47,264",,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Andrey Konchalovskiy,Anatoliy Solonitsyn,Biography,3h25min
230,Rocky,https://www.imdb.com/title/tt0075148/,8.1,2h,John G. Avildsen,3 December 1976 (Canada),USA,"520,174",70,A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.,Sylvester Stallone,Sylvester Stallone,Drama,PG
231,"Monsters, Inc.",https://www.imdb.com/title/tt0198781/,8.1,1h 32min,Pete Docter,2 November 2001 (Canada),USA,"818,150",79,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",Pete Docter,Billy Crystal,Animation,G
232,Dom za vesanje,https://www.imdb.com/title/tt0097223/,8.2,2h 22min,Emir Kusturica,September 1990 (Italy),Macedonian,"26,748",,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",Emir Kusturica,Davor Dujmovic,Comedy,2h22min
233,Kaze no tani no Naushika,https://www.imdb.com/title/tt0087544/,8.1,1h 57min,Hayao Miyazaki,11 March 1984 (Japan),Japan,"151,634",86,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki,Sumi Shimamoto,Animation,PG
234,Rebecca,https://www.imdb.com/title/tt0032976/,8.1,2h 10min,Alfred Hitchcock,12 April 1940 (USA),English,"124,345",86,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Daphne Du Maurier,Laurence Olivier,Drama,2h10min
235,Before Sunset,https://www.imdb.com/title/tt0381681/,8.1,1h 20min,Richard Linklater,30 July 2004 (USA),USA,"237,255",90,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,Ethan Hawke,Drama,14A
236,Rang De Basanti,https://www.imdb.com/title/tt0405508/,8.2,2h 47min,Rakeysh Omprakash Mehra,26 January 2006 (India),Hindi,"112,220",,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Renzil D'Silva,Aamir Khan,Comedy,14A
237,Du rififi chez les hommes,https://www.imdb.com/title/tt0048021/,8.1,1h 58min,Jules Dassin,13 April 1955 (France),French,"29,083",97,"Four men plan a technically perfect crime, but the human element intervenes...",Auguste Le Breton,Jean Servais,Crime,1h58min
238,Fa yeung nin wah,https://www.imdb.com/title/tt0118694/,8.1,1h 38min,Kar-Wai Wong,29 September 2000 (Hong Kong),Hong Kong,"125,088",85,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong,Tony Chiu-Wai Leung,Drama,PG
239,"Paris, Texas",https://www.imdb.com/title/tt0087884/,8.1,2h 25min,Wim Wenders,23 August 1984 (UK),English,"91,776",78,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",L.M. Kit Carson,Harry Dean Stanton,Drama,PG
240,Portrait de la jeune fille en feu,https://www.imdb.com/title/tt8613070/,8.1,2h 2min,Céline Sciamma,18 September 2019 (France),France,"64,536",95,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Céline Sciamma,Noémie Merlant,Drama,PG
241,It Happened One Night,https://www.imdb.com/title/tt0025316/,8.1,1h 45min,Frank Capra,27 February 1934 (Canada),English,"94,393",87,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Robert Riskin,Clark Gable,Comedy,PG
242,Drishyam,https://www.imdb.com/title/tt4430212/,8.2,2h 43min,Nishikant Kamat,31 July 2015 (India),India,"70,823",,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Jeethu Joseph,Ajay Devgn,Crime,14A
243,Koe no katachi,https://www.imdb.com/title/tt5323662/,8.1,2h 10min,Naoko Yamada,17 September 2016 (Japan),Japan,"48,848",78,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Yoshitoki Oima,Miyu Irino,Animation,PG
244,Contratiempo,https://www.imdb.com/title/tt4857264/,8.1,1h 46min,Oriol Paulo,1 July 2017 (Canada),Spanish,"143,351",,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,Oriol Paulo,Mario Casas,Crime,16+
245,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",https://www.imdb.com/title/tt0169858/,8.1,1h 27min,Hideaki Anno,2005 (Germany),Japanese,"39,308",,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,Hideaki Anno,Megumi Ogata,Animation,14A
246,Hera Pheri,https://www.imdb.com/title/tt0242519/,8.2,2h 36min,Priyadarshan,31 March 2000 (India),Hindi,"57,204",,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Siddique,Akshay Kumar,Action,2h36min
247,La battaglia di Algeri,https://www.imdb.com/title/tt0058946/,8.1,2h 1min,Gillo Pontecorvo,9 September 1966 (Italy),Arabic,"53,340",96,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Franco Solinas,Brahim Hadjadj,Drama,14A
248,Miracle in cell NO.7,https://www.imdb.com/title/tt10431500/,8.3,2h 12min,Mehmet Ada Öztekin,11 October 2019 (Turkey),Turkey,"34,743",,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,Özge Efendioglu,Aras Bulut Iynemli,Drama,2h12min
249,The Help,https://www.imdb.com/title/tt1454029/,8,2h 26min,Tate Taylor,10 August 2011 (Canada),USA,"429,800",62,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,Emma Stone,Drama,PG
